Subprimer,Office Code,id_agency,id_subagency,id_org,id_suborg,subprimer_line_num,assigned_indiv,seeding_complete,Date,Event,Comments,is_office
Office of Enforcement and Compliance Assurance,106000000,1,6,0,0,,,27/29,,,,1
Office of Administration and Policy,106000001,1,6,0,0,1,,1,17-Feb,DataRescue NH,,
"Office of Civil Enforcement (OCE): Air, Water, Waste and Chemical Enforcement",106000002,1,6,0,0,2,,1,17-Feb,DataRescue NH,,
OCE: National Enforcement Initiatives,106000003,1,6,0,0,3,,1,17-Feb,DataRescue NH,,
OCE: Civil enforcement cases and settlements,106000004,1,6,0,0,4,,1,17-Feb,DataRescue NH,,
OCE: Policy Guidance and Publications,106000005,1,6,0,0,5,,1,17-Feb,DataRescue NH,,
"Office of Criminal Enforcement, Forensics and Training (OCEFT): Criminal Enforcement Cases",106000006,1,6,0,0,6,,1,17-Feb,DataRescue NH,,
OCEFT: Criminal Enforcement Program Area and Resident Offices,106000007,1,6,0,0,7,,1,17-Feb,DataRescue NH,,
OCEFT: Environmental Violation Reporting,106000008,1,6,0,0,8,,1,17-Feb,DataRescue NH,,
OCEFT: EPA fugitives,106000009,1,6,0,0,9,,1,17-Feb,DataRescue NH,,
OCEFT: National Enforcement Investigations Center,106000010,1,6,0,0,10,,1,17-Feb,DataRescue NH,,
Office of Compliance (OC): EPA National Enforcement Initiatives,106000011,1,6,0,0,11,,1,17-Feb,DataRescue NH,,
OC: Statutory Programs Compliance Monitoring,106000012,1,6,0,0,12,,1,17-Feb,DataRescue NH,,
OC: Compliance Assistance,106000013,1,6,0,0,13,,1,17-Feb,DataRescue NH,,
OC: Enforcement and Compliance History Online (ECHO),106000014,1,6,0,0,14,,1,17-Feb,DataRescue NH,,
OC: National Enforcement Training Institute,106000015,1,6,0,0,15,,1,17-Feb,DataRescue NH,,
OC: Compliance and Enforcement Annual Results,106000016,1,6,0,0,16,,1,17-Feb,DataRescue NH,,
Office of Environmental Justice (OEJ): National Environmental Justice Advisory Council (NEJAC),106000017,1,6,0,0,17,,1,17-Feb,DataRescue NH,,
OEJ: Federal Interagency Working Group on Environmental Justice,106000018,1,6,0,0,18,,1,17-Feb,DataRescue NH,,
OEJ: Listserv for environmental justice information,106000019,1,6,0,0,19,,1,17-Feb,DataRescue NH,,
OEJ: Environmental Justice Small Grants,106000020,1,6,0,0,20,,1,17-Feb,DataRescue NH,,
OEJ: EJ 2020,106000021,1,6,0,0,21,,1,17-Feb,DataRescue NH,,
Office of Federal Activities (OFA): National Environmental Policy Act (NEPA),106000022,1,6,0,0,22,,1,17-Feb,DataRescue NH,,
OFA: Environmental Impact Assessments (EIAs) Regarding Nongovernmental Activities in Antarctica,106000023,1,6,0,0,23,,1,17-Feb,DataRescue NH,,
OFA: Environmental Impact Statement Database,106000024,1,6,0,0,24,,1,17-Feb,DataRescue NH,,
Federal Facilities Enforcement Office: Compliance and Enforcement at Federal facilities,106000025,1,6,0,0,25,,1,17-Feb,DataRescue NH,,
Office of Site Remediation Enforcement: Superfund Enforcement,106000026,1,6,0,0,26,,0,,,,
OSRE: RCRA cleanup,106000027,1,6,0,0,27,,1,17-Feb,DataRescue NH,,
OSRE: Brownfields and land revitalization,106000028,1,6,0,0,28,,1,17-Feb,DataRescue NH,,
OSRE: Cleanup enforcement,106000029,1,6,0,0,29,,0,,,,
Office of International and Tribal Affairs,110000000,1,10,0,0,,,33/33,,,,1
Partnering with International Organizations,110000001,1,10,0,0,1,,1,17-Feb,DataRescue NH,,
International Actions to Reduce Mercury,110000002,1,10,0,0,2,,1,17-Feb,DataRescue NH,,
Cleaning Up Electronic Waste,110000003,1,10,0,0,3,,1,17-Feb,DataRescue NH,,
"Environment, Trade and Finance",110000004,1,10,0,0,4,,1,17-Feb,DataRescue NH,,
Protecting the Marine Environment,110000005,1,10,0,0,5,,1,17-Feb,DataRescue NH,,
Partnership for Clean Fuels and Vehicles,110000006,1,10,0,0,6,,1,17-Feb,DataRescue NH,,
Global Alliance to Eliminate Lead in Paint,110000007,1,10,0,0,7,,1,17-Feb,DataRescue NH,,
Strong Environmental Institutions,110000008,1,10,0,0,8,,1,17-Feb,DataRescue NH,,
Climate Change,110000009,1,10,0,0,9,,1,17-Feb,DataRescue NH,,
Air Quality,110000010,1,10,0,0,10,,1,17-Feb,DataRescue NH,,
Clean Water,110000011,1,10,0,0,11,,1,17-Feb,DataRescue NH,,
Toxic Chemicals,110000012,1,10,0,0,12,,1,17-Feb,DataRescue NH,,
Electronic Waste (E-Waste),110000013,1,10,0,0,13,,1,17-Feb,DataRescue NH,,
International Priorities,110000014,1,10,0,0,14,,1,17-Feb,DataRescue NH,,
U.S. EPA grants and cooperative agreements,110000015,1,10,0,0,15,,1,17-Feb,DataRescue NH,,
Information on Receiving International Grant Payments,110000016,1,10,0,0,16,,1,17-Feb,DataRescue NH,,
Explore open grants for tribes,110000017,1,10,0,0,17,,1,17-Feb,DataRescue NH,,
Importer/Exporter Requirements,110000018,1,10,0,0,18,,1,17-Feb,DataRescue NH,,
Public Participation Guide,110000019,1,10,0,0,19,,1,17-Feb,DataRescue NH,,
International E-Waste Management Network,110000020,1,10,0,0,20,,1,17-Feb,DataRescue NH,,
Technical Review Guidelines for Environmental Impact Assessment,110000021,1,10,0,0,21,,1,17-Feb,DataRescue NH,,
Office of Regional and Bilateral Affairs (OBRA): Africa,110000022,1,10,0,0,22,,1,17-Feb,DataRescue NH,,
OBRA: Asia/Pacific Islands,110000023,1,10,0,0,23,,1,17-Feb,DataRescue NH,,
OBRA: Latin America & Caribbean,110000024,1,10,0,0,24,,1,17-Feb,DataRescue NH,,
OBRA: Middle East,110000025,1,10,0,0,25,,1,17-Feb,DataRescue NH,,
OBRA: Europe,110000026,1,10,0,0,26,,1,17-Feb,DataRescue NH,,
OBRA: North America,110000027,1,10,0,0,27,,1,17-Feb,DataRescue NH,,
OBRA: Russia/Eurasia,110000028,1,10,0,0,28,,1,17-Feb,DataRescue NH,,
Indian Environmental General Assistance Program (GAP),110000029,1,10,0,0,29,,1,17-Feb,DataRescue NH,,
Environmental Protection in Indian Country,110000030,1,10,0,0,30,,1,17-Feb,DataRescue NH,,
"Laws, regulations and policies that affect tribes",110000031,1,10,0,0,31,,1,17-Feb,DataRescue NH,,
Consultation with tribes,110000032,1,10,0,0,32,,1,17-Feb,DataRescue NH,,
Tribal ecoAmbassadors,110000033,1,10,0,0,33,,1,17-Feb,DataRescue NH,,
Office of Environmental Information,107000000,1,7,0,0,,,37/37,,,,1
Agency-wide Quality System Documents,107000001,1,7,0,0,1,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
Quality Specifications for non-EPA Organizations to do business with EPA,107000002,1,7,0,0,2,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
EPA Quality Management Tools for Projects,107000003,1,7,0,0,3,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
EPA Quality Management Tools for Organizations and Programs,107000004,1,7,0,0,4,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
Guidelines for Ensuring and Maximizing the Quality of Information,107000005,1,7,0,0,5,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
Information Guidelines - Requests for Correction and Requests for Reconsideration,107000006,1,7,0,0,6,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
Training Courses on Quality Assurance and Quality Control Activities,107000007,1,7,0,0,7,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
EPA Information Quality Guidelines,107000008,1,7,0,0,8,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
EPA Docket Center,107000009,1,7,0,0,9,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
Freedom of Information Act,107000010,1,7,0,0,10,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
EPA National Records Management Program,107000011,1,7,0,0,11,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
EPA National Library Network,107000012,1,7,0,0,12,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
Central Data Exchange (CDX),107000013,1,7,0,0,13,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
Cross-Media Electronic Reporting Rule (CROMERR),107000014,1,7,0,0,14,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
Data Standards,107000015,1,7,0,0,15,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
Facility Registry Service,107000016,1,7,0,0,16,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
Geospatial Program - a lot of databases in this section,107000017,1,7,0,0,17,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
Geospatial Data Download Service,107000018,1,7,0,0,18,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
Integrated Error Correction Process,107000019,1,7,0,0,19,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
Environmental Information Exchange Network (EIEN),107000020,1,7,0,0,20,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
Open Government,107000021,1,7,0,0,21,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
System of Registries,107000022,1,7,0,0,22,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
Reusable Component Services,107000023,1,7,0,0,23,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
Substance Registry Services,107000024,1,7,0,0,24,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
Terminology Services,107000025,1,7,0,0,25,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
Data Registry Services,107000026,1,7,0,0,26,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
"Registry of EPA Applications, Models, and Data Warehouses (READ)",107000027,1,7,0,0,27,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
Envirofacts - database,107000028,1,7,0,0,28,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
MyEnvironment,107000029,1,7,0,0,29,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
TRI Data and Tools,107000030,1,7,0,0,30,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
TRI-MEweb,107000031,1,7,0,0,31,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
EPA&rsquo;s Implementation of the Privacy Act,107000032,1,7,0,0,32,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
Developer Central,107000033,1,7,0,0,33,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
EPA Information Directives,107000034,1,7,0,0,34,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
OEI Tribal Coordination,107000035,1,7,0,0,35,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
EPA Environmental Dataset Gateway (EDG) (likely uncrawlable),107000036,1,7,0,0,36,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
EPA Metadata Editor (likely uncrawlable),107000037,1,7,0,0,37,,1,4-Feb,DataRescue NYC,18-Feb,DataRescue DC
Office of Land and Emergency Management,111000000,1,11,0,0,,,Oct-42,,,,1
Brownfields,111000001,1,11,0,0,1,,1,4-Feb,DataRescue NH,,
Cleanups,111000002,1,11,0,0,2,,1,4-Feb,DataRescue NH,,
Emergency Management and Response,111000003,1,11,0,0,3,,1,4-Feb,DataRescue NH,,
Federal Facilities Cleanup,111000004,1,11,0,0,4,,1,4-Feb,DataRescue NH,,
Innovations Initiative,111000005,1,11,0,0,5,,1,4-Feb,DataRescue NH,,
OLEM Accomplishments Report and Benefits,111000006,1,11,0,0,6,,1,4-Feb,DataRescue NH,,
"Renewable Energy on Contaminated Lands, Landfills and Mine Sites",111000007,1,11,0,0,7,,1,4-Feb,DataRescue NH,,
Superfund,111000008,1,11,0,0,8,,1,4-Feb,DataRescue NH,,
Sustainable Materials Management,111000009,1,11,0,0,9,,1,4-Feb,DataRescue NH,,
Waste,111000010,1,11,0,0,10,,0,,,,
Office of Superfund Remediation and Technology Innovation (OSRTI): National Priorities List,111000011,1,11,0,0,11,,1,4-Feb,DataRescue NH,,
"OSRTI: Comprehensive Environmental Response, Compensation, and Liability Information System (CERCLIS)",111000012,1,11,0,0,12,,0,,,,
OSRTI: Community Involvement,111000013,1,11,0,0,13,,0,,,,
OSRTI: Resource Conservation and Recovery Act,111000014,1,11,0,0,14,,0,,,,
OSRTI: Enforcing regulations,111000015,1,11,0,0,15,,0,,,,
OSRTI: Clean up areas,111000016,1,11,0,0,16,,0,,,,
Office of Resource Conservation and Recovery (ORCR): Wastes,111000017,1,11,0,0,17,,0,,,,
ORCR: Hazardous waste,111000018,1,11,0,0,18,,0,,,,
ORCR: Recycling,111000019,1,11,0,0,19,,0,,,,
ORCR: Corrective action (cleanups),111000020,1,11,0,0,20,,0,,,,
ORCR: Household hazardous waste,111000021,1,11,0,0,21,,0,,,,
ORCR: Municipal solid waste,111000022,1,11,0,0,22,,0,,,,
ORCR: Sustainable Materials Management,111000023,1,11,0,0,23,,0,,,,
"ORCR: Reduce, Reuse, Recycle",111000024,1,11,0,0,24,,0,,,,
ORCR: Underground storage tank program,111000025,1,11,0,0,25,,0,,,,
Office of Underground Storage Tanks (OUST): Preventing UST releases,111000026,1,11,0,0,26,,0,,,,
OUST: Cleaning up UST releases,111000027,1,11,0,0,27,,0,,,,
OUST: Alternative fuels and USTs,111000028,1,11,0,0,28,,0,,,,
OUST: Petroleum brownfields,111000029,1,11,0,0,29,,0,,,,
OUST: USTs in Indian country,111000030,1,11,0,0,30,,0,,,,
Office of Brownfields and Land Revitalization (OBLR): Grants and funding,111000031,1,11,0,0,31,,0,,,,
OBLR: Land revitalization,111000032,1,11,0,0,32,,0,,,,
"Office of Emergency Management (OEM): Chemical, Biological, Radiological, and Nuclear Consequence Management Advisory Division (CMAD)",111000033,1,11,0,0,33,,0,,,,
OEM: Emergency Planning and Community Right-to-Know Act (EPCRA) Requirements,111000034,1,11,0,0,34,,0,,,,
OEM: Risk Management Plan (RMP),111000035,1,11,0,0,35,,0,,,,
OEM: Executive Order on Improving Chemical Facility Safety and Security,111000036,1,11,0,0,36,,0,,,,
OEM: Facility Response Plan (FRP) Rule,111000037,1,11,0,0,37,,0,,,,
OEM: Local Governments Reimbursement (LGR) Program,111000038,1,11,0,0,38,,0,,,,
OEM: National Contingency Plan (NCP) Subpart J Product Schedule,111000039,1,11,0,0,39,,0,,,,
OEM: Reporting Oil Discharges and Hazardous Substance Releases,111000040,1,11,0,0,40,,0,,,,
"OEM: Spill Prevention, Control, and Countermeasure (SPCC) Rule",111000041,1,11,0,0,41,,0,,,,
Federal Facilities Restoration and Reuse Office (FFRRO): Federal Facilities Restoration and Reuse Program,111000042,1,11,0,0,42,,0,,,,
Office of Chemical Safety and Pollution Prevention,104000000,1,4,0,0,,,47/64,,,,1
About OCSPP,104000001,1,4,0,0,1,,1,18-Feb,DataRescue DC,,
"Federal Insecticide, Fungicide, and Rodenticide Act",104000002,1,4,0,0,2,,1,18-Feb,DataRescue DC,,
"Federal Food, Drug, and Cosmetic Act",104000003,1,4,0,0,3,,1,18-Feb,DataRescue DC,,
Toxic Substances Control Act,104000004,1,4,0,0,4,,1,18-Feb,DataRescue DC,,
Pollution Prevention Act,104000005,1,4,0,0,5,,1,18-Feb,DataRescue DC,,
2011 - 2015 Strategic Plan,104000006,1,4,0,0,6,,1,18-Feb,DataRescue DC,,
Test Guidelines for Pesticides and Toxic Substances,104000007,1,4,0,0,7,,0,,,,
Pesticide Registration Improvement Extension Act,104000008,1,4,0,0,8,,1,18-Feb,DataRescue DC,,
Food Quality Protection Act,104000009,1,4,0,0,9,,1,18-Feb,DataRescue DC,,
Endangered Species Act,104000010,1,4,0,0,10,,1,18-Feb,DataRescue DC,,
Pesticides,104000011,1,4,0,0,11,,1,18-Feb,DataRescue DC,,
Assessing Pesticide Risk,104000012,1,4,0,0,12,,1,18-Feb,DataRescue DC,,
Bed Bugs,104000013,1,4,0,0,13,,1,18-Feb,DataRescue DC,,
Biotechnology under FIFRA,104000014,1,4,0,0,14,,1,18-Feb,DataRescue DC,,
Endangered Species Protection Program,104000015,1,4,0,0,15,,1,18-Feb,DataRescue DC,,
Ingredients Used in Pesticides,104000016,1,4,0,0,16,,1,18-Feb,DataRescue DC,,
Insect Repellents,104000017,1,4,0,0,17,,1,18-Feb,DataRescue DC,,
Pest Management in Schools,104000018,1,4,0,0,18,,1,18-Feb,DataRescue DC,,
Mosquito Control,104000019,1,4,0,0,19,,1,18-Feb,DataRescue DC,,
Pesticide Labels,104000020,1,4,0,0,20,,1,18-Feb,DataRescue DC,,
Pesticide Registration,104000021,1,4,0,0,21,,1,18-Feb,DataRescue DC,,
Pesticide Registration Review,104000022,1,4,0,0,22,,1,18-Feb,DataRescue DC,,
Pesticide Tolerances,104000023,1,4,0,0,23,,1,18-Feb,DataRescue DC,,
Pesticide Environmental Stewardship Program,104000024,1,4,0,0,24,,1,18-Feb,DataRescue DC,,
Protecting Pets from Fleas and Ticks,104000025,1,4,0,0,25,,1,18-Feb,DataRescue DC,,
Protecting Pollinators,104000026,1,4,0,0,26,,1,18-Feb,DataRescue DC,,
Reducing Pesticide Drift,104000027,1,4,0,0,27,,1,18-Feb,DataRescue DC,,
Worker Safety Protection,104000028,1,4,0,0,28,,1,18-Feb,DataRescue DC,,
Pesticide Safety Information for Consumers,104000029,1,4,0,0,29,,1,18-Feb,DataRescue DC,,
Reporting Pesticide Incidents,104000030,1,4,0,0,30,,1,18-Feb,DataRescue DC,,
Pesticide News,104000031,1,4,0,0,31,,1,18-Feb,DataRescue DC,,
Dockets Open for Public Comment,104000032,1,4,0,0,32,,1,18-Feb,DataRescue DC,,
Analytical Chemistry Laboratory,104000033,1,4,0,0,33,,0,,,,
Microbiology Laboratory,104000034,1,4,0,0,34,,1,18-Feb,DataRescue DC,,
Section 313 of Emergency Planning and Community Right-to-Know Act,104000035,1,4,0,0,35,,1,18-Feb,DataRescue DC,,
Grants for funding pollution prevention,104000036,1,4,0,0,36,,1,18-Feb,DataRescue DC,,
Chemicals under TSCA,104000037,1,4,0,0,37,,1,18-Feb,DataRescue DC,,
Lead,104000038,1,4,0,0,38,,1,18-Feb,DataRescue DC,,
Formaldehyde,104000039,1,4,0,0,39,,1,18-Feb,DataRescue DC,,
Asbestos,104000040,1,4,0,0,40,,1,18-Feb,DataRescue DC,,
Mercury,104000041,1,4,0,0,41,,1,18-Feb,DataRescue DC,,
PCBs,104000042,1,4,0,0,42,,0,,,,
Acute Exposure Guideline Levels,104000043,1,4,0,0,43,,1,18-Feb,DataRescue DC,,
Assessing and Managing Chemicals under TSCA,104000044,1,4,0,0,44,,1,18-Feb,DataRescue DC,,
Biotechnology under TSCA,104000045,1,4,0,0,45,,1,18-Feb,DataRescue DC,,
Chemical Data Reporting,104000046,1,4,0,0,46,,1,18-Feb,DataRescue DC,,
Import-Export Requirements for Chemicals under TSCA,104000047,1,4,0,0,47,,1,18-Feb,DataRescue DC,,
New Chemicals,104000048,1,4,0,0,48,,1,18-Feb,DataRescue DC,,
Predictive Models and Tools for Assessing Chemicals under TSCA,104000049,1,4,0,0,49,,1,18-Feb,DataRescue DC,,
"E3: Economics, Energy and Environment",104000050,1,4,0,0,50,,1,18-Feb,DataRescue DC,,
Green Chemistry,104000051,1,4,0,0,51,,0,,,,
Green Engineering,104000052,1,4,0,0,52,,0,,,,
Green Sports,104000053,1,4,0,0,53,,0,,,,
Greener Products and Services,104000054,1,4,0,0,54,,0,,,,
Pollution Prevention,104000055,1,4,0,0,55,,0,,,,
Safer Choice,104000056,1,4,0,0,56,,0,,,,
Sustainable Futures,104000057,1,4,0,0,57,,0,,,,
Toxic Release Inventory Program,104000058,1,4,0,0,58,,0,,,,
TSCA Inventory,104000059,1,4,0,0,59,,0,,,,
Review of Confidential Business Information,104000060,1,4,0,0,60,,0,,,,
FIFRA SAP Meetings,104000061,1,4,0,0,61,,0,,,,
Endocrine Disruptor Screening Program,104000062,1,4,0,0,62,,0,,,,
Scientific Advisory Panel (SAP),104000063,1,4,0,0,63,,0,,,,
Chemical Safety Advisory Committee (CSAC),104000064,1,4,0,0,64,,0,,,,
Office of the General Counsel,108000000,1,8,0,0,,,9-Sep,,,,1
About OGC,108000001,1,8,0,0,1,,1,18-Feb,DataRescue DC,,
Notices of Intent to Sue the E.P.A.,108000002,1,8,0,0,2,,1,18-Feb,DataRescue DC,,
Laws and Regulations,108000003,1,8,0,0,3,,1,18-Feb,DataRescue DC,,
Alternative Dispute Resolution Law Office: Policy and Guidance,108000004,1,8,0,0,4,,1,18-Feb,DataRescue DC,,
"Civil Rights Office: External Civil Rights Compliance Office,",108000005,1,8,0,0,5,,1,18-Feb,DataRescue DC,,
Cross-Cutting Issues Law Office : Regulatory Development and Retrospective Review Tracker,108000006,1,8,0,0,6,,1,18-Feb,DataRescue DC,,
Ethics Office,108000007,1,8,0,0,7,,1,18-Feb,DataRescue DC,,
FOIA Expert Assistance Team (FEAT) Office,108000008,1,8,0,0,8,,1,18-Feb,DataRescue DC,,
Pesticides and Toxic Substances Law Office,108000009,1,8,0,0,9,,1,18-Feb,DataRescue DC,,
Office of Water,0,,,,,,,0/66,,,,1
Ground Water and Drinking Water,113000001,1,13,0,0,1,,0,,,,
Drinking Water Standards,113000002,1,13,0,0,2,,0,,,,
Drinking Water Requirements for States and Water Systems,113000003,1,13,0,0,3,,0,,,,
Drinking Water Systems Capacity,113000004,1,13,0,0,4,,0,,,,
Source Water Protection,113000005,1,13,0,0,5,,0,,,,
Private Drinking Water Wells,113000006,1,13,0,0,6,,0,,,,
Drinking Water Contaminants,113000007,1,13,0,0,7,,0,,,,
Public Drinking Water Systems,113000008,1,13,0,0,8,,0,,,,
Small Public Drinking Water Systems,113000009,1,13,0,0,9,,0,,,,
Drinking Water Contaminant Human Health Effects Information,113000010,1,13,0,0,10,,0,,,,
Sustainable Infrastructure,113000011,1,13,0,0,11,,0,,,,
Clean Water State Revolving Fund,113000012,1,13,0,0,12,,0,,,,
Clean Watersheds Needs Survey,113000013,1,13,0,0,13,,0,,,,
Environmental Finance,113000014,1,13,0,0,14,,0,,,,
Green Infrastructure,113000015,1,13,0,0,15,,0,,,,
Asset Management,113000016,1,13,0,0,16,,0,,,,
National Aquatic Research Surveys,113000017,1,13,0,0,17,,0,,,,
